name,uuid,path,date,jurisdiction,category,subtext
Vicejefatura de Gabinete del Interior,f604f07f-1070-5537-82ad-ddf165de701f,Presidencia de la Nación<br>Jefatura de Gabinete de Ministros<br>Vicejefatura de Gabinete del Interior,2025_07_08,Jefatura de Gabinete de Ministros,medio ambiente,extranjero asimilacion integracion comunidad nacional jefe gabinete ministro funcion autoridad aplicacion ejercicio actividad materia turismo <br><b>ambiente</b><br> deporte
Subsecretaría de Ciberdefensa,32764638-9cf8-5806-9e41-437b55483cc3,Presidencia de la Nación<br>Ministerio de Defensa<br>Secretaría de Estrategia y Asuntos Militares<br>Subsecretaría de Ciberdefensa,2025_07_08,Ministerio de Defensa,defensa nacional,planeamiento diseno elaboracion politica ciberdefensa establecido ciclo planeamiento defensa nacional coordinacion subsecretaria planeamiento estrategico politica <br><b>militar</b><br> diseno politica ciberdefensa seguridad informacion ministerio defensa jurisdiccion accion aspecto regulatorio sistema ciberdefensa jurisdiccion infraestructura
"Secretaría de Agricultura, Ganadería y Pesca",b13fad27-f2e2-5c2d-a905-06788fe7543a,"Presidencia de la Nación<br>Ministerio de Economía<br>Secretaría de Agricultura, Ganadería y Pesca",2025_07_08,Ministerio de Economía,medio ambiente,producto sector agroalimentario agroindustrial mercado externo coordinacion area competencia materia plan programa fortalecimiento productivo integral <br><b>sustentable</b><br> economia regional relacion cooperacion integracion provincia ciudad autonomo aires municipio desarrollo agricultura ganaderio foresto industrio
"Secretaría de Agricultura, Ganadería y Pesca",b13fad27-f2e2-5c2d-a905-06788fe7543a,"Presidencia de la Nación<br>Ministerio de Economía<br>Secretaría de Agricultura, Ganadería y Pesca",2025_07_08,Ministerio de Economía,seguridad interior,registro fiscalizacion operatoria persona humano juridica comercio industrializacion distinto cadena agroalimentario agroindustrial funcion control fiscalizacion <br><b>policia</b><br> previsto articulo decreto conforme transferencia autorizado articulo resolucion ministerio economia obra servicio publico decreto resolucion
Subsecretaría de Ambiente,a6f11e64-6e43-5c6e-86f9-7a5377981a08,"Presidencia de la Nación<br>Jefatura de Gabinete de Ministros<br>Vicejefatura de Gabinete del Interior<br>Secretaría de Turismo, Ambiente y Deportes<br>Subsecretaría de Ambiente",2025_07_08,Jefatura de Gabinete de Ministros,medio ambiente,<br><b>ambiente</b><br> responsabilidad primario secretaria formulacion implementacion ejecucion politica ambiental desarrollo sostenible dispuesto articulo constitucion nacional demas
Subsecretaría de Producción Agropecuaria y Forestal,a9d13ddf-eb6e-579d-9891-1d47c43311e2,"Presidencia de la Nación<br>Ministerio de Economía<br>Secretaría de Agricultura, Ganadería y Pesca<br>Subsecretaría de Producción Agropecuaria y Forestal",2025_07_08,Ministerio de Economía,medio ambiente,vinculado consejo federal agropecuario ambito competencia secretaria propuesta diseno ejecucion plan programa fortalecimiento productivo integral <br><b>sustentable</b><br> pequeno mediano productor agroalimentario implementacion programa accion destinado transferencia desarrollo tecnologico pequeno mediano productor agroalimentario
Subsecretaría de Producción Agropecuaria y Forestal,a9d13ddf-eb6e-579d-9891-1d47c43311e2,"Presidencia de la Nación<br>Ministerio de Economía<br>Secretaría de Agricultura, Ganadería y Pesca<br>Subsecretaría de Producción Agropecuaria y Forestal",2025_07_08,Ministerio de Economía,género y diversidad sexual,pequeno mediano productor agroalimentario accion area organismo pertinente insercion cadena valor especifico capacidad productivo joven <br><b>mujer</b><br> sector agroalimentario desarrollo territorial equitativo sustentable
Ministerio de Seguridad Nacional,57438f03-74c6-5bae-bbb9-9111d3eb5a38,Presidencia de la Nación<br>Ministerio de Seguridad Nacional,2025_07_08,Ministerio de Seguridad Nacional,seguridad interior,vinculado navegacion agua aplicacion relacionado seguridad aeroportuario determinacion politica criminal elaboracion plan programa aplicacion prevencion <br><b>delito</b><br> organizacion funcionamiento supervision establecimiento penal servicio asistencial mejora necesario readaptacion condenado adecuado tratamiento procesado efectivo
Subsecretaría de Recursos Acuáticos y Pesca,1d5b7dee-0ab0-5367-acd5-6a9eb0317473,"Presidencia de la Nación<br>Ministerio de Economía<br>Secretaría de Agricultura, Ganadería y Pesca<br>Subsecretaría de Recursos Acuáticos y Pesca",2025_07_08,Ministerio de Economía,trabajo y empleo,pesquero negociacion bilateral multilateral organismo internacional coordinacion area competencia materia desarrollo proceso obtencion valor agregado <br><b>empleo</b><br> mano obra argentino coordinacion area competencia materia medida tendient actividad pesquero acuicultura explotacion cultivo tarea
Subsecretaría de Planeamiento Estratégico y Política Militar,8f9e2ba8-68de-58a0-8725-724611c795c6,Presidencia de la Nación<br>Ministerio de Defensa<br>Secretaría de Estrategia y Asuntos Militares<br>Subsecretaría de Planeamiento Estratégico y Política Militar,2025_07_08,Ministerio de Defensa,defensa nacional,planeamiento estrategico politica <br><b>militar</b><br> responsabilidad primario secretaria determinacion politica defensa nacional formulacion actualizacion estudio diseno curso accion supervision evaluacion
