lema,cantidad
adecuado,20
comercio internacional,20
desarrollo politica,20
descentralizado,20
dicho,20
dirigido,20
igualdad,20
integrado,20
medio,20
mercosur,20
ministroa,20
politica plan programa,20
programacion,20
promocion desarrollo,20
proyecto area competencia,20
reunion,20
secretaria elaboracion,20
sistema nacional,20
comision nacional,19
complementario,19
conforme directiva,19
congreso,19
coordinacion organismo,19
diagnostico,19
ejecucion plan,19
elaborado,19
equipamiento,19
estructura,19
insercion,19
internacional materia,19
juridico,19
normativa vigente,19
respuesta,19
resultado,19
seguridad social,19
tematica,19
tratado,19
valor,19
accion necesario,18
aprobacion,18
cadena,18
construccion,18
cumplimiento objetivo,18
efecto,18
ejecucion programa,18
elaboracion plan,18
laboral,18
material,18
ministerio relacion,18
nacion jefe gabinete,18
nacional elaboracion,18
operacion,18
plazo,18
politica publica,18
presidencia,18
presidente nacion jefe,18
prioritario,18
regulatorio,18
riesgo,18
subsidio,18
transporte,18
universidad,18
abordaje,17
accion organismo,17
activo,17
area ministerio,17
competencia elaboracion,17
consolidacion,17
constitucion nacional,17
consulta,17
consumo,17
contratacion,17
credito,17
culto,17
diseno implementacion politica,17
distinto jurisdiccion,17
evaluacion politica,17
gabinete ministro orden,17
implementacion programa,17
instituto nacional,17
interes,17
ministro orden,17
ministro orden competencia,17
modernizacion,17
nacional provincia,17
nacional secretaria,17
natural,17
orden competencia,17
organismo nacional provincial,17
planeamiento,17
politica estrategia,17
preservacion,17
presupuesto,17
profesional,17
relevamiento,17
urbano,17
vida,17
ambiente,16
area competencia elaborado,16
ciencia,16
comercializacion,16
competencia elaborado,16
competencia elaborado conforme,16
comun,16
concesion,16
control tutelar,16
coordinacion ministerio,16
curso,16
determinacion objetivo,16
dialogo,16
elaborado conforme,16
elaborado conforme directiva,16
fiduciario,16
fisico,16
fondo fiduciario,16
formulacion ejecucion,16
indicador,16
involucrado,16
mantenimiento,16
monitoreo evaluacion,16
municipio ciudad,16
municipio ciudad autonomo,16
nacional organismo,16
organismo competente,16
personal,16
politica area,16
presupuestario,16
provincia municipio ciudad,16
recuperacion,16
subsecretario,16
tecnica,16
toma,16
transferencia,16
tutelar,16
utilizacion,16
accion vinculado,15
actuacion,15
agenda,15
ambito competencia elaboracion,15
capital,15
competencia plan,15
conforme directiva ejecutivo,15
congreso nacion,15
conservacion,15
contrato,15
cooperacion internacional,15
coordinado,15
cultura,15
cuyo,15
definicion politica,15
dependiente,15
determinacion objetivo politica,15
directiva ejecutivo,15
directiva ejecutivo nacional,15
diversidad,15
documento,15
estandar,15
familiar,15
fiscal,15
foro,15
gobierno nacional,15
gobierno provincial ciudad,15
iniciativa,15
investigacion desarrollo,15
jurisdiccion provincial,15
legal,15
legislativo,15
marco regulatorio,15
modificatoria,15
organizacion gubernamental,15
politica social,15
practica,15
reconocimiento,15
reforma,15
relacion exterior,15
resolucion,15
sanitario,15
secretaria coordinacion,15
solucion,15
tendra,15
toma decision,15
tratamiento,15
zona,15
accion materia,14
alcance,14
alto,14
aprovechamiento,14
area competencia plan,14
asignado,14
atinente,14
basado,14
cargo,14
celebracion,14
competencia accion,14
competencia ministerio,14
competente materia,14
compromiso,14
concurso,14
coordinacion area administracion,14
coordinacion politica,14
demas,14
desempeno,14
directo,14
distinto area,14
elaboracion proyecto,14
equidad,14
etapa,14
explotacion,14
exterior comercio,14
exterior comercio internacional,14
habitante,14
honorable,14
honorable congreso,14
honorable congreso nacion,14
industrial,14
ingreso,14
insumo,14
judicial,14
legislacion,14
mediano plazo,14
ministerio relacion exterior,14
mision,14
nacional materia,14
naturaleza,14
objetivo politica area,14
obligacion,14
organismo publico,14
pertinente,14
politica area competencia,14
popular,14
proveniente,14
punto,14
relacion exterior comercio,14
servicio publico,14
sistematizacion,14
termino,14
agencia,13
aplicacion politica,13
area competente administracion,13
autorizacion,13
ciudadano,13
colectivo,13
comercio internacional culto,13
competencia coordinacion,13
competencia inherente,13
competencia plan programa,13
competente administracion,13
concerniente,13
conformidad,13
control fiscalizacion,13
cooperacion tecnico,13
coordinacion accion,13
desarrollo implementacion,13
diseno desarrollo,13
diverso,13
economica,13
economico social,13
eficiencia,13
ejecucion accion,13
existente,13
exportacion,13
global,13
gobierno provincial municipal,13
incorporacion,13
integrante,13
internacional coordinacion,13
internacional culto,13
logistico,13
modelo,13
modificacion,13
nacional ambito,13
nacional ambito competencia,13
obra infraestructura,13
obra publico,13
obtencion,13
orden competencia inherente,13
organismo descentralizado,13
organo,13
plan accion,13
plataforma,13
pliego,13
politica promocion,13
prestacion,13
protocolo,13
registro nacional,13
rehabilitacion,13
representacion nacional,13
tendra objetivo,13
transparencia,13
vulnerabilidad,13
accionar,12
anual,12
area administracion nacional,12
armado,12
asesoramiento,12
atinent,12
cambio,12
central,12
ciencia tecnologia,12
competente jurisdiccion,12
competente ministerio,12
digital,12
diseno estrategia,12
economico financiero,12
ejecucion plan programa,12
ente nacional,12
estadistica,12
facultad,12
frontera,12
igualdad oportunidad,12
licencia,12
linea,12
militar,12
ministerio desarrollo,12
ministerio economia,12
mundial,12
nacional accion,12
pequeno,12
productividad,12
racional,12
representante,12
secretaria relacion,12
sustentable,12
tema relacionado,12
turismo,12
vinculado area,12
administracion nacional competencia,11
agua,11
area administracion publico,11
area competencia especifico,11
area competente ministerio,11
avance,11
banco,11
base condicion,11
campo,11
comite,11
competencia politica,11
competencia secretaria,11
conflicto,11
contralor,11
costo,11
desarrollo sostenible,11
enlace,11
equipo,11
especial temporario unidad,11
estadistico,11
estudio investigacion,11
exterior coordinacion,11
financiero internacional,11
fuerza armado,11
gubernamental gubernamental,11
habitat,11
implementacion plan,11
interinstitucional,11
internacional ambito,11
internacional vinculado,11
jurisdiccion entidad,11
licitacion,11
licitatorio,11
lineamiento estrategico,11
materia politica,11
miembro,11
mujer,11
nacional diseno,11
nacional formulacion,11
nacional gobierno,11
nacional provincial ciudad,11
nacional regional,11
nacional relacion,11
ordenamiento,11
particular determinacion,11
politica materia,11
presidencia nacion,11
primario ministra,11
proceso integracion,11
programa nacional,11
punto vista,11
recomendacion,11
recurso natural,11
reglamentario,11
relacion organismo,11
relevante,11
responsabilidad primario ministra,11
secretaria desarrollo,11
secretaria diseno,11
seguimiento politica,11
temporario unidad,11
transformacion,11
unico,11
violencia,11
vista,11
vivienda,11
abordaje integral,10
accion area,10
accion destinado,10
aires municipal,10
apertura,10
aplicable,10
archivo,10
argentino exterior,10
asociacion,10
autonomo aires municipal,10
bien servicio,10
celebracion convenio,10
cientifico tecnologico,10
colaboracion,10
contable,10
coordinacion ejecucion,10
coordinacion organismo nacional,10
cumplimiento normativa,10
cumplimiento politica,10
delito,10
desarrollo actividad,10
desarrollo economico,10
diseno elaboracion,10
economia regional,10
educativo nacional,10
efectivo,10
eficiente,10
elaboracion implementacion,10
elaboracion norma,10
especializado,10
especialmente,10
estatal,10
estrategia politica,10
evolucion,10
formulacion implementacion,10
fortalecimiento capacidad,10
gasto,10
generado,10
implementacion accion,10
implementacion estrategia,10
inclusion social,10
industria,10
intersectorial,10
jefatura,10
jefatura gabinete,10
jurisdiccion nacional,10
maritimo,10
materia secretaria,10
medida tendient,10
mejora calidad,10
mesa,10
meta,10
ministerio competencia,10
ministerio defensa,10
ministerio educacion,10
ministerio salud,10
nacional ciencia,10
objetivo diseno,10
particular determinacion objetivo,10
pauta,10
planificacion ejecucion,10
pliego base,10
pliego base condicion,10
primario politica,10
principio,10
problema,10
problematica,10
productor,10
promocion proteccion,10
propuesta ejecucion,10
proyecto inversion,10
publico nacional competencia,10
realizacion estudio,10
regional internacional,10
reglamento,10
relacion institucional,10
responsabilidad primario politica,10
sector productivo,10
sector publico privado,10
sexual,10
sistema educativo,10
superior,10
sustentabilidad,10
tecnologia innovacion,10
trabajador,10
actualizado,9
adecuacion,9
adquisicion,9
area competente jurisdiccion,9
armonizacion,9
articulo constitucion,9
articulo constitucion nacional,9
aspecto relativo,9
barrio,9
calidad vida,9
ciencia tecnologia innovacion,9
circuito,9
cobertura,9
competente administracion publico,9
conduccion,9
consideracion,9
convenio internacional,9
coordinacion secretaria,9
crecimiento,9
criminal,9
cualquiera,9
cuidado,9
curso accion,9
definido,9
delegacion,9
deportivo,9
desarrollo proyecto,9
desarrollo tecnologico,9
despliegue,9
dictado,9
diseno ejecucion politica,9
disponible,9
documentacion,9
droga,9
ejecucion evaluacion,9
ejecucion politica desarrollo,9
elaboracion ejecucion politica,9
empleo seguridad,9
empleo seguridad social,9
empresa sector,9
equitativo,9
especifico materia,9
fijacion,9
formulacion ejecucion politica,9
formular,9
fuente,9
funcional,9
habitacional,9
identidad,9
impacto economico,9
individual,9
instalacion,9
interaccion,9
jurisdiccional,9
justicia derechos,9
justicia derechos humanos,9
llamado,9
metodologia,9
ministerio interior,9
ministerio justicia,9
ministerio justicia derechos,9
motivo,9
nacional competente,9
nacional desarrollo,9
nacional gobierno provincial,9
organismo gubernamental,9
origen,9
plan proyecto,9
planificacion desarrollo,9
planificacion estrategico,9
poblacional,9
policia,9
politica exterior,9
prestacion servicio,9
representativo,9
responsable,9
rural,9
seguro,9
sistema educativo nacional,9
situacion vulnerabilidad,9
socio,9
tecnologio,9
trabajo empleo,9
trabajo empleo seguridad,9
tributario,9
vigente materia,9
vinculado area competencia,9
vinculado competencia,9
vinculo,9
academico,8
accion conjunto,8
accion relativo,8
accion vinculado area,8
actividad vinculado,8
actor social,8
afectado,8
agregado,8
aires municipio,8
ambito competencia accion,8
ambito competencia secretaria,8
ambito nacional,8
aplicacion norma,8
aplicacion normativa,8
aplicacion tratado,8
aplicado,8
area gobierno,8
area ministerio competencia,8
articulacion politica,8
asociado,8
atribucion,8
autonomo aires municipio,8
beneficio,8
cabo,8
camara,8
ciclo,8
ciudadania,8
compensacion,8
competencia gestion,8
competencia materia secretaria,8
concurso licitacion,8
concurso licitacion proceso,8
conferencia,8
controversia,8
convocatoria,8
cooperativo,8
cuerpo,8
deporte,8
desarrollo integral,8
desastre,8
descentralizacion,8
desconcentrado,8
digitalizacion,8
docente,8
economia social,8
electronico,8
empleador,8
evaluacion impacto,8
experiencia,8
fluvial,8
frente,8
funcionamiento sistema,8
gestion administrativo,8
gobierno local,8
implementado,8
infantil,8
informacion gestion,8
innovacion tecnologico,8
instancia,8
instruccion,8
inter,8
internacional ambito competencia,8
internacional desarrollo,8
interpretacion,8
jefatura gabinete ministro,8
legislacion nacional,8
licitacion proceso,8
licitacion proceso licitatorio,8
llamado concurso,8
llamado concurso licitacion,8
metropolitano,8
ministerial,8
ministerio trabajo,8
ministerio trabajo empleo,8
motivo accion,8
motivo accion vinculado,8
nacional coordinacion area,8
nacional transporte,8
nivel federal,8
nivel local,8
objetivo ministroa,8
observatorio,8
organismo competencia,8
organismo entidad,8
orientacion,8
particularidad,8
policial,8
politica curso,8
politica gestion,8
politica tendient,8
precio,8
presidencial,8
proceso licitatorio,8
programa desarrollo,8
programa promocion,8
provision,8
proyeccion,8
proyecto cooperacion,8
proyecto programa,8
publico sector,8
racional recurso,8
reduccion,8
regularizacion,8
representacion ministerio,8
salarial,8
secretaria planificacion,8
sistema nacional ciencia,8
sistema transporte,8
social diseno,8
sostenibilidad,8
suelo,8
sujeto,8
sustancia,8
sustantiva,8
tecnico financiero,8
terrestre,8
tipo,8
titulo,8
tramitacion,8
transversal,8
tratado internacional,8
turistico,8
victima,8
zona frontera,8
acceso habitat,7
accion organismo nacional,7
accion politica,7
acorde,7
actividad productivo,7
actor sector,7
administracion funcionamiento,7
aereo,7
agente,7
agricultura,7
alternativa,7
alternativo,7
ambito competencia politica,7
aplicacion regimen,7
area competente materia,7
armadas,7
articulacion accion,7
asignacion recurso,7
asumido,7
asunto internacional,7
ayuda,7
